	shannon_entropy
DRR030421	2.354000024066006
DRR030422	3.069701863713356
DRR030423	2.402616654462344
DRR030424	3.2060179915424785
DRR030425	4.998660944618267
DRR030426	4.893091628712044
DRR030427	4.600459437290783
DRR030428	4.7150661986373805
